change_price,changePercent,vol,high,low,last
0.58,"3,303,886","29,473",0.935,0.855,0.005
0.06,54.55,"3,042,080",0.205,0.205,0.17
-0.035,-5.47,"1,627,090",0.64,0.64,0.605
0.03,16.67,"1,509,055",0.23,0.23,0.21
0.02,6.56,"1,425,502",0.36,0.36,0.325
-0.01,-4.88,"1,386,045",0.21,0.21,0.195
0.005,10,"1,166,192",0.105,0.105,0.055
-0.005,-9.09,"805,482",0.065,0.065,0.05
0.01,3.85,"613,544",0.31,0.31,0.27
-0.015,-15,"553,314",0.095,0.095,0.085
-,-,"553,207",0.04,0.04,0.035
0.005,5,"549,916",0.11,0.11,0.105
-,-,"540,104",0.07,0.07,0.065
0.045,23.68,"533,630",0.235,0.235,0.235
-,-,"532,794",0.145,0.145,0.135
0.02,3.25,"517,236",0.89,0.89,0.635
0.01,3.7,"494,944",0.3,0.3,0.28
-,-,"494,779",0.075,0.075,0.06
-,-,"494,352",0.16,0.16,0.155
-0.08,-9.88,"478,365",0.81,0.81,0.73
-0.01,-4.65,"455,179",0.22,0.22,0.205
0.62,29.67,"400,165",2.71,2.71,2.71
0.055,10.48,"389,078",0.585,0.585,0.58
0.03,7.06,"375,567",0.46,0.46,0.455
-0.01,-5,"368,474",0.21,0.21,0.19
-0.005,-2.7,"366,973",0.185,0.185,0.18
-,-,"364,339",0.15,0.15,0.15
-0.005,-0.66,"354,214",0.775,0.775,0.75
-0.01,-3.03,"340,445",0.34,0.34,0.32
-0.015,-4.84,"327,390",0.31,0.31,0.295
-,-,"319,889",0.025,0.025,0.02
0.01,3.85,"317,222",0.275,0.275,0.27
-0.005,-8.33,"304,485",0.06,0.06,0.055
0.005,2.56,"296,227",0.205,0.205,0.2
0.02,20,"296,184",0.14,0.14,0.12
-0.035,-21.21,"294,917",0.15,0.15,0.13
-0.005,-0.79,"291,792",0.66,0.66,0.63
-0.015,-3.3,"290,019",0.47,0.47,0.44
0.045,7.83,"284,384",0.62,0.62,0.62
-0.01,-4.17,"269,505",0.24,0.24,0.23
-,-,"268,069",0.425,0.425,0.415
0.005,20,"263,642",0.035,0.035,0.03
-0.005,-3.7,"260,016",0.14,0.14,0.13
-0.04,-8.42,"247,418",0.475,0.475,0.435
0.005,11.11,"246,751",0.055,0.055,0.05
0.035,8.05,"238,458",0.47,0.47,0.47
-0.005,-4,"234,478",0.125,0.125,0.12
-0.01,-2.13,"231,966",0.47,0.47,0.46
-0.055,-6.55,"230,180",0.86,0.86,0.785
-,-,"229,344",0.175,0.175,0.17
-0.005,-12.5,"219,235",0.04,0.04,0.035
0.005,33.33,"212,247",0.03,0.03,0.02
-0.005,-1.64,"201,634",0.31,0.31,0.3
-,-,"201,056",0.22,0.22,0.215
-0.005,-1.12,"199,551",0.45,0.45,0.44
0.005,0.53,"198,970",0.965,0.965,0.95
-0.005,-3.33,"193,422",0.15,0.15,0.145
0.005,6.25,"185,692",0.085,0.085,0.085
0.005,1.15,"183,173",0.455,0.455,0.44
0.015,9.38,"179,368",0.18,0.18,0.175
-0.005,-3.23,"172,842",0.155,0.155,0.15
0.005,2.08,"169,353",0.25,0.25,0.245
0.015,3.53,"166,344",0.45,0.45,0.44
-0.08,-1.67,"164,411",4.82,4.82,4.72
0.005,1.82,"163,667",0.28,0.28,0.28
0.045,7.32,"163,649",0.665,0.665,0.66
-0.005,-1.35,"162,971",0.375,0.375,0.365
-0.01,-4.65,"162,417",0.225,0.225,0.205
-,-,"157,702",0.7,0.7,0.695
-0.04,-3.7,"156,544",1.1,1.1,1.04
-,-,"154,490",0.095,0.095,0.095
-0.005,-8.33,"148,755",0.06,0.06,0.055
-,-,"148,101",0.025,0.025,0.02
-,-,"146,423",0.295,0.295,0.28
-0.005,-1.79,"144,887",0.29,0.29,0.275
-,-,"142,622",1.82,1.82,1.81
0.01,1.89,"142,082",0.555,0.555,0.54
0.015,2.31,"141,101",0.675,0.675,0.665
0.015,7.14,"140,976",0.23,0.23,0.225
0.055,8.8,"140,788",0.83,0.83,0.68
0.005,1.56,"140,518",0.34,0.34,0.325
-,-,"140,253",0.155,0.155,0.15
0.005,1.96,"139,571",0.265,0.265,0.26
-,-,"139,134",0.025,0.025,0.02
0.01,1.56,"137,957",0.665,0.665,0.65
-0.045,-6.77,"133,807",0.685,0.685,0.62
0.11,9.4,"133,299",1.28,1.28,1.28
-0.025,-2.5,"133,087",1.04,1.04,0.975
-0.11,-2.88,"131,953",3.85,3.85,3.71
-0.005,-4.17,"131,148",0.125,0.125,0.115
0.015,2.56,"130,612",0.605,0.605,0.6
0.005,3.45,"128,402",0.15,0.15,0.15
-0.01,-5.88,"126,849",0.175,0.175,0.16
0.01,4.17,"126,141",0.255,0.255,0.25
-0.05,-2.89,"125,171",1.77,1.77,1.68
-,-,"121,796",0.04,0.04,0.04
0.005,5,"119,260",0.11,0.11,0.105
-0.025,-8.33,"118,549",0.3,0.3,0.275
0.03,2.54,"117,728",1.22,1.22,1.21
-0.07,-2.63,"117,662",2.66,2.66,2.59
0.01,0.24,"117,235",4.24,4.24,4.21
-,-,"114,769",0.23,0.23,0.215
-0.005,-1.92,"114,630",0.265,0.265,0.255
0.005,0.73,"112,773",0.7,0.7,0.69
0.005,1.61,"111,730",0.325,0.325,0.315
0.005,2.22,"107,854",0.235,0.235,0.23
-0.01,-1.12,"107,548",0.89,0.89,0.88
0.01,2.7,"106,244",0.41,0.41,0.38
-0.1,-2.62,"104,102",3.84,3.84,3.72
-0.07,-4.64,"102,725",1.52,1.52,1.44
-,-,"101,539",0.03,0.03,0.03
0.01,2.35,"100,619",0.45,0.45,0.435
0.01,0.75,"99,008",1.36,1.36,1.35
-,-,"98,571",1.44,1.44,1.42
0.025,12.2,"97,607",0.25,0.25,0.23
0.055,5.76,"96,735",1.01,1.01,1.01
-0.02,-1.03,"92,647",2.01,2.01,1.93
-,-,"92,519",0.1,0.1,0.09
-,-,"92,261",0.43,0.43,0.43
-,-,"91,780",0.055,0.055,0.05
-0.005,-3.13,"91,607",0.16,0.16,0.155
-,-,"91,492",0.24,0.24,0.24
0.03,5.56,"91,476",0.68,0.68,0.57
0.005,5.56,"90,716",0.095,0.095,0.095
0.05,4.35,"88,658",1.25,1.25,1.2
-,-,"86,735",0.08,0.08,0.075
0.005,4.35,"86,274",0.12,0.12,0.12
0.01,13.33,"85,914",0.09,0.09,0.085
0.005,3.85,"84,809",0.135,0.135,0.135
-0.01,-0.72,"84,767",1.4,1.4,1.38
